Date,City,State
4/8/17 7:03,New York,NY
4/8/17 15:07,Charlotte,NC
4/8/17 22:03,Bellevue,WA
4/9/17 9:07,New York,NY
4/9/17 9:18,Nashville,TN
4/9/17 11:00,New York,NY
4/9/17 12:30,Raleigh,NC
4/9/17 13:37,Atlanta,GA
4/9/17 13:37,Atlanta,GA
4/9/17 14:56,Columbus,OH
4/9/17 23:00,North Bend,OR
4/10/17 10:26,Juneau,Alaska
4/10/17 11:11,Sigel,IL
4/10/17 11:33,Anniston,AL
4/10/17 11:45,Salem,IL
4/10/17 11:45,Rockford,Illinois
4/10/17 11:56,Chatham,IL
4/10/17 14:12,Bakersfield,CA
4/10/17 17:09,Springfield,Illinois
4/10/17 18:31,Victoria,TX
4/10/17 19:48,St. Louis,MO
4/11/17 1:48,Atlanta,GA
4/11/17 3:18,Pasadena,CA
4/11/17 4:26,Bellingham,WA
4/11/17 4:38,Tacoma,WA
4/11/17 5:56,Chicago,Illinois
4/11/17 5:56,Cape Girardeau,MO
4/11/17 6:18,Seattle,WA
4/11/17 6:41,Bellingham,WA
4/11/17 8:10,Southgate,MI
4/11/17 8:40,Los Angeles,California
4/11/17 9:30,Rockford,IL
4/11/17 9:41,Champaign,IL
4/11/17 11:00,New York,NY
4/11/17 11:00,New York,NY
4/11/17 11:16,Chicago,IL
4/11/17 11:33,Washington,DC
4/11/17 11:53,Charleston,SC
4/11/17 12:03,San Leandro,CA
4/11/17 13:22,Plant City,FL
4/11/17 13:42,Seattle,WA
4/11/17 13:48,New York,NY
4/11/17 14:45,Myrtle Beach,SC
4/11/17 16:15,Washington,DC
4/11/17 18:07,Springfield,IL
4/11/17 19:26,New York,NY
4/11/17 21:19,Bellevue,WA
4/11/17 21:37,Ottawa,IL
4/12/17 1:37,Washington,DC
4/12/17 2:34,San Ramon,CA
4/12/17 4:26,Milwaukee,Wisconsin
4/12/17 5:11,Milwaukee,WI
4/12/17 6:34,Washington,District of Columbia
4/12/17 6:52,Montgomery,AL
