,RouteId,Latitude,Longitude,Average_Temperature,Average_Wind_Speed,Average_Wind_Direction,Average_Cloud_Coverage,Average_Feels_Like_Temperature,Average_Min_Temperature,Average_Max_Temperature,Average_Pressure,Average_Humidity,Average_Main_Weather_Condition,FRC_Traffic,Current_Speed_Traffic,Free_Flow_Speed_Traffic,Current_Travel_Time_Traffic,Road_Closure_Traffic,Gas_Stations,Rest_Stops,Restaurants,Safety_Score
46,Route0,41.75404,-85.42501,11.525,3.4437499999999996,171.125,4.75,9.5775,10.035,11.525,1017.0,41.25,Clear,FRC0,120.0,120.0,277.0,False,20.0,20.0,1.0,0.0
47,Route0,41.73238,-86.01786,3.0962500000000004,4.0200000000000005,291.0,99.375,-0.40750000000000003,2.9524999999999997,3.0962500000000004,1011.875,79.375,Clouds,FRC3,70.0,70.0,65.0,False,20.0,20.0,3.0,0.0
48,Route0,41.72276,-86.2542,3.3762499999999998,3.75,294.75,99.625,0.13,3.20125,3.3762499999999998,1011.875,79.125,Clouds,FRC0,120.0,120.0,787.0,False,20.0,20.0,20.0,0.25
49,Route0,41.73878,-86.53544,3.6425,3.55875,282.5,80.75,0.8775000000000001,3.1875,3.6425,1012.75,75.375,Clouds,FRC0,120.0,120.0,506.0,False,17.0,17.0,1.0,0.0
50,Route0,41.57423,-86.96926,3.58625,5.668749999999999,314.75,96.625,-0.6712499999999999,3.58625,3.69125,1012.75,74.875,Clouds,FRC0,111.0,111.0,356.0,False,20.0,20.0,0.0,0.5
51,Route0,41.58137,-87.19455,4.066250000000001,5.285,261.5,99.125,0.10500000000000001,3.83375,4.088750000000001,1010.125,79.875,Clouds,FRC4,47.0,47.0,604.0,False,20.0,20.0,20.0,0.0
52,Route0,41.57782,-87.58204,2.1175,3.9649999999999994,295.5,99.25,-1.64,1.915,2.1175,1010.125,86.5,Clouds,FRC4,64.0,64.0,239.0,False,20.0,20.0,20.0,0.0833333333333333
53,Route0,41.53725,-87.96575,2.9925,2.55375,271.25,78.125,0.5499999999999999,2.87,2.9925,1012.875,77.25,Clouds,FRC4,47.0,47.0,45.0,False,20.0,20.0,1.0,0.0
54,Route0,41.48677,-88.18354,3.125,2.5362500000000003,273.5,79.375,0.72,3.01625,3.125,1013.0,77.875,Clouds,FRC0,121.0,121.0,219.0,False,20.0,20.0,11.0,0.3333333333333333
55,Route0,41.3843,-88.43032,6.39,3.2649999999999997,236.5,82.0,4.1274999999999995,6.279999999999999,6.41125,1007.0,81.0,Clouds,FRC0,121.0,121.0,347.0,False,20.0,20.0,20.0,0.0
